Video;Modelo;Total Frames;FPS Original;Resolución;Duración (s);Total Detecciones;Cerdos por Frame;Tiempo Promedio (s);FPS Efectivos;Confianza Promedio;Confianza Mínima;Confianza Máxima;Detecciones como Oveja;Detecciones como Vaca;Memoria Usada (MB);Tamaño Modelo (MB)
Pig 2.mp4;YOLOv8s;375;30;1280x720;12,5;2885;7,693333333;0,10065104;9,935317072;0,550789026;0,250053793;0,932334185;782;2103;0;21,52763653
Pig 2.mp4;YOLOv8xl;375;30;1280x720;12,5;3106;8,282666667;0,535770252;1,866471677;0,670866142;0,251135439;0,93558836;2333;773;0;130,5270567
Pig 3.mp4;YOLOv8s;288;29;1920x1080;9,931034483;842;2,923611111;0,10273518;9,733764034;0,506252552;0,250569433;0,859279752;5;837;0;21,52763653
Pig 3.mp4;YOLOv8xl;288;29;1920x1080;9,931034483;1493;5,184027778;0,535010181;1,869123308;0,693277232;0,250160813;0,959758162;0;1493;0;130,5270567
Pig 4.mp4;YOLOv8s;316;29;1920x1080;10,89655172;1307;4,136075949;0,101242299;9,877294512;0,540165629;0,250099808;0,961212575;986;321;0;21,52763653
Pig 4.mp4;YOLOv8xl;316;29;1920x1080;10,89655172;2002;6,335443038;0,534310373;1,871571375;0,593979928;0,250284255;0,957656443;1113;889;0;130,5270567
Pig 5.mp4;YOLOv8s;233;30;480x272;7,766666667;816;3,502145923;0,102362732;9,769180447;0,457673215;0,250214368;0,872232616;202;614;0;21,52763653
Pig 5.mp4;YOLOv8xl;233;30;480x272;7,766666667;1839;7,892703863;0,547446172;1,826663608;0,512278495;0,25009957;0,908536971;423;1416;0;130,5270567
Pig 6.mp4;YOLOv8s;755;30;1280x720;25,16666667;2295;3,039735099;0,098721651;10,1294902;0,809232476;0,25083074;0,964010239;2178;117;0;21,52763653
Pig 6.mp4;YOLOv8xl;755;30;1280x720;25,16666667;2391;3,166887417;0,534182343;1,872019943;0,82786216;0,251236022;0,970101237;2042;349;0;130,5270567
